,Papallacta_SEM,Mica_SEM,Orientales_SEM,Occidentales_SEM,Bellavista_SEM,Puengasi_SEM,El Placer_SEM,El Troje_SEM,Paluguillo_SEM,Norte_SEM,Centro_SEM,Sur_SEM,Parroquias Norte_SEM,Parroquias Sur_SEM,Parroquiales Orientales_SEM,Papallacta_BASE,Mica_BASE,Orientales_BASE,Occidentales_BASE,Bellavista_BASE,Puengasi_BASE,El Placer_BASE,El Troje_BASE,Paluguillo_BASE,Norte_BASE,Centro_BASE,Sur_BASE,Parroquias Norte_BASE,Parroquias Sur_BASE,Parroquiales Orientales_BASE
2021-11-30,7644697.703999997,360214.46495999995,6493622.845679999,2408082.5664,6866296.165259998,4743897.511033079,1715462.7360291362,1351607.1447995277,1373752.1774087998,4057981.0336686587,5680044.465989443,1571165.50788032,639252.1729857058,1607684.3660331601,2151277.6048375443,7479900.469439998,354626.73504000006,6433174.165680001,2360929.1616,6719461.291551455,4698768.237692761,1686266.3305700643,1336150.805117832,1344138.1143583679,3971201.623306908,5615186.394398851,1547260.8657446932,625581.8462434403,1583187.8248237544,2105042.953287494
2021-12-31,8318068.23456,406606.83264000004,7212823.334136001,2563837.332480001,7457097.722637022,5272123.747516525,1846792.4579878321,1497097.8791333642,1494756.8617504318,4407144.754078481,6262344.416970036,1722988.9638628773,694255.7979775069,1767266.8443733864,2339104.161784437,8167135.7073599985,403942.896,7171018.378128,2523034.0512,7323208.528187663,5241433.729563433,1822297.6893002405,1486476.9350768882,1467634.286612592,4328016.240158909,6214338.101848822,1703721.6396316784,681790.7139742714,1747105.0781879225,2296829.730302969
2022-01-31,7786655.997119999,345461.3712,6371664.689592001,2481046.64928,7000819.344384765,4651338.607611949,1745695.0812412081,1330142.0236348682,1399262.0826824638,4137484.232531397,5622762.62782375,1570545.548553977,651776.2809622217,1605356.5208266473,2192060.385789899,7637078.258207998,341832.1392,6329955.975192001,2440348.89696,6868067.164799298,4620298.128816349,1721223.9063448564,1319035.5502044843,1372382.9629999776,4059027.694396386,5574463.041567377,1551045.266292209,639417.0530428147,1585109.15595036,2150157.711041715
2022-02-28,7910275.000320001,347295.7313280001,6418996.911936001,2511256.8499200004,7109681.799967489,4685574.017813473,1764889.871094605,1340447.4671039425,1421476.417557504,4201821.943780785,5669481.764169572,1587191.256007105,661911.3755769732,1623188.3650348273,2226589.8009567615,7749613.944576,342870.60326400003,6372517.590432001,2470166.01216,6967744.727179622,4650818.084155152,1739867.9236271426,1328163.2183629153,1392605.6258403072,4117937.133763157,5617399.866192827,1566232.4985507624,648697.0341004228,1601252.804193116,2181659.734690684
2022-03-31,8172453.242015997,369770.07427200006,6519208.86,2386487.88,7293636.651308916,4766116.386786913,1706040.0689463073,1359075.3824182178,1468589.8475902744,4310539.260923569,5691975.057904799,1603724.2137857126,679037.57223686,1655839.598323898,2294242.1527441004,8022993.8080319995,365917.22265600006,6487058.016000001,2353730.51232,7162954.655516956,4741731.604325376,1686398.3267616576,1349863.967324909,1441731.9873033504,4233306.201410521,5653680.808947464,1586242.4387299782,666871.0784286286,1637077.4448003587,2252606.2806036314
2022-04-30,8215574.5324800005,371361.69792000006,6521126.674319998,2470659.1487999996,7349908.357657152,4768161.2914554,1750931.911845072,1365989.208797016,1476338.7434866563,4343795.839375378,5731533.569692037,1618094.5800887062,684276.4680978808,1664163.0188013385,2308462.460771419,8110471.602239999,369515.93472,6500335.4776800005,2451552.9984,7258986.586778976,4752672.17268204,1739359.1924817122,1360514.6652897361,1457451.7469225281,4290061.072786375,5707968.720355013,1606818.4607208082,675811.6512291225,1651570.8468107479,2279299.367652641
2022-05-31,8300158.818336001,409519.37836800003,6156124.346664,2305501.63488,7378217.371421366,4526828.501440644,1641021.7278904847,1318678.3386750745,1491538.539654979,4360526.466510027,5423547.345479024,1574578.5056023533,686912.0372793291,1628281.5438027363,2326598.044444744,8198976.606911999,408506.13964800007,6133754.108808,2288394.42624,7291006.934927789,4510584.68941026,1630441.393048469,1313536.4810116345,1473356.0962620862,4308985.098542323,5400142.352376365,1563903.668623878,678792.745641777,1616113.2266692058,2298560.8433007835
2022-06-30,8177111.066879999,410133.9744000001,6108710.7290400015,2373575.5296,7294246.88284051,4493597.20796916,1674118.5335316001,1316400.1795306804,1469426.8587183359,4310899.907758742,5421676.373032957,1571894.5123608564,679094.3847924515,1615869.9771661912,2295128.032986344,8072889.209279999,408549.2256,6078961.871999998,2351193.0912,7203233.345851871,4471892.651865599,1660233.9963628799,1309462.79553792,1450698.1909076157,4257110.907398456,5390615.569119727,1559354.5623303223,670621.024498809,1602185.0884872975,2266107.876926718
2022-07-31,8362378.023552001,446287.06080000004,5511558.621599998,2268841.03488,7420120.7386779655,4087381.607017199,1581128.895166848,1236551.364080496,1502719.3308322944,4385291.356558678,4980605.564096902,1516297.5267184104,690813.2407709185,1563362.2263858188,2342444.7295985506,8227914.254784001,443326.89312,5467547.762136002,2239096.3315199995,7302482.335880121,4055004.702116606,1562352.0746232243,1226195.7798657964,1478556.191584685,4315767.060505151,4935898.119591795,1499080.2482505543,679861.1054704392,1544791.2676614677,2304978.201098985
2022-08-31,7883074.325951998,396459.25891200005,4982061.219192001,2175994.29888,7004067.223119725,3691691.340097501,1495402.5676650193,1122695.4838149576,1416588.4563735742,4139403.7288637557,4555042.901365556,1402940.4178793794,652078.6584724461,1444824.3515062022,2209282.5958871376,7729019.373599998,390423.698784,4921248.575736,2139120.7660800004,6868594.494785517,3646110.7921803487,1471624.1866091664,1107654.0338257991,1388904.7814359197,4059339.346418242,4494335.510578928,1380809.7193313106,639466.1474645318,1421587.1605380082,2166274.661551282
2022-09-30,7978491.420480002,412961.45759999997,5134726.080000001,2201479.6895999997,7088632.818517151,3806702.7673896006,1519522.81279632,1156557.2423616003,1433734.908260256,4189381.995743637,4678067.176541176,1433807.5060126723,659951.7154039468,1475844.076973682,2235998.6524781804,7788994.2144,405090.90144000005,5055859.88568,2153659.8816000004,6921380.83696416,3747571.91500716,1488683.800834704,1137027.722294952,1399682.26032768,4090536.0746458177,4599319.483468965,1405664.9741922142,644380.5559213633,1446557.8615082563,2183023.4338754457
2022-10-31,7842945.331872001,417864.41568,5234904.797328,2166201.80064,6968732.025060892,3879604.463509512,1507494.951214992,1172089.05985836,1409377.2761373986,4118520.6268109884,4733088.134195599,1434059.4991189733,648788.9515331691,1475779.365410187,2198074.137002451,7658724.685247999,411349.79692800005,5163292.9656,2118215.58624,6805764.942615473,3826186.6171646877,1477093.4674728767,1154374.6042190301,1376272.8259390653,4022207.0810857443,4659812.183185885,1407438.6833558748,633616.7161575005,1448088.876852495,2146529.75664197
2022-11-30,7923264.350400001,388211.38272000005,5701800.65832,2290838.630399999,7065557.840547361,4196611.7995122,1602848.715843312,1236728.559994776,1423810.6037668802,4175744.68376349,5096447.327350504,1495282.2758621473,657803.4349549592,1537422.2573208304,2223611.5909213587,7755764.929919999,381927.2083200001,5643970.42968,2242589.3279999997,6916235.114049406,4153030.553375641,1573212.551083632,1221232.6739241362,1393710.9579066238,4087494.9524032,5032602.6455715895,1471123.5539215326,643901.4891179998,1512801.728267738,2176609.2928583412
2022-12-31,7587850.283999998,373880.989728,5418571.390128,2159253.49536,6757852.941448558,3990298.09617252,1513979.2994321089,1176678.0479148624,1363536.6960347996,3993891.0883960985,4837431.920293217,1423581.8198516034,629156.1088488608,1466136.934200176,2128457.3222752484,7447310.029151999,368988.731424,5374234.9845360005,2119365.6912000002,6632711.867164923,3956853.6316469884,1489716.8407212626,1164559.7680944551,1338281.6122386144,3919932.7134944703,4787160.03913964,1403973.6137104628,617505.4748330545,1446090.1429384414,2089037.683618171
2023-01-31,6938531.905536,314393.966784,4748610.475728001,2089944.0028800003,6208253.394064646,3491183.085702697,1431236.1389199265,1037799.2087571311,1246854.183424819,3669077.7558922055,4321976.943528987,1285411.6352263838,577988.3909874184,1315739.6372821918,1949729.5385881835,6793762.296383998,308316.81110399996,4697627.131728,2048583.3465599997,6079278.668425399,3452528.906179416,1405711.883045606,1023936.4199074032,1220839.0846602046,3592853.6930394107,4265990.162480523,1264246.1183353066,565980.8440304048,1294214.11350446,1909115.572240101
2023-02-28,6753398.92416,323113.867776,4760600.838336001,2002700.12544,6034782.759090624,3503434.353965281,1386029.9572108416,1038230.9989789252,1213585.7866715519,3566556.6106225583,4294926.430868295,1267781.6982810418,561838.2748713371,1299362.6068264833,1896776.9789646226,6612443.582975999,315989.589888,4709184.588864001,1961816.12928,5909053.801808102,3464020.3992488645,1360688.727091277,1023783.9288352705,1188256.111860787,3492250.7968685883,4238414.699809154,1246484.2922066308,550132.9089483343,1277893.969149334,1857214.96093011
2023-03-31,7095150.193824,324347.463648,4554783.191736001,2000532.0470399996,6314445.857605736,3358558.9504528926,1371549.8109380687,1007137.6679492425,1274998.4898301726,3731837.50184499,4153324.1824280606,1264739.6789890726,587874.9093430941,1303625.3437724477,1989703.6450373016,6943823.754336,316901.88662400004,4508145.062928,1960669.68768,6180467.513568566,3322381.4548101365,1347048.8658707903,993325.2866899631,1247805.1286541794,3652656.300519022,4100410.1634917757,1243405.710413087,575401.5255132334,1281836.839073844,1947349.8308765688
2023-04-30,7229367.0287999995,377575.7846400001,4934746.91664,2070149.2704,6441790.12060752,3650077.7992476006,1435355.6160551042,1098232.254144432,1299117.25507536,3807097.961279044,4467395.901142119,1340830.8675511393,599730.6602285601,1375226.247370586,2028281.0820969616,7110928.258560001,371702.59776,4898110.00104,2044600.1856000002,6338333.225314943,3621647.7918637195,1419169.5828099363,1087765.143812568,1277833.808063232,3745954.936161132,4428392.1716028,1324855.8452445434,590098.8232768213,1358424.8483520425,1995298.9317849898
2023-05-31,7509776.156063998,398957.02761600004,5561505.424800001,2270183.4489599997,6721406.057423432,4102151.4540927364,1583190.4591620576,1219424.2907708448,1349506.7752447005,3972350.979937248,4995533.690012161,1458080.5348249292,625762.9039461216,1487637.5841921282,2110490.9137329217,7397761.262975999,394570.61193600006,5530577.879736,2245286.11392,6623378.05882314,4078399.63230774,1567781.2988243855,1210660.0883217289,1329377.698956787,3914416.4327644766,4961362.413165631,1443678.5353175215,616636.4972764344,1472413.7231493925,2079275.9612703822
2023-06-30,7237128.850560001,398654.00640000013,4831444.52568,2044212.4224000005,6441708.731540544,3586232.0691673197,1415711.13736248,1091676.40467588,1300512.054445632,3807049.860340461,4393844.941547248,1333930.4046757682,599723.0829064248,1367037.1808890938,2029626.7314849915,7127556.690239999,394554.24000000005,4802150.506320001,2023712.2944,6346776.235486175,3563758.595755081,1402755.0074906403,1083615.7567374003,1280821.937236128,3750944.7551723295,4362877.513243472,1320525.2948035602,590884.8675237629,1352491.3983648773,1999206.370811652
2023-07-31,7047204.825023998,416098.27872,4732694.6328,1972720.0771200003,6268224.175201497,3524027.36189832,1372022.3250671043,1080778.9703839202,1266382.7070568127,3704520.487544084,4301550.809338859,1309193.396261063,583571.6707112592,1339836.430968521,1975835.9308785629,6917180.772095999,413261.31744,4695957.6984,1948328.4240000003,6155556.1284055095,3496842.89502984,1356566.2552117442,1071972.470143152,1243017.384745651,3637933.671887656,4264273.37992513,1293763.677555837,573082.2755545529,1322790.316982255,1939735.6164247643
2023-08-31,6852504.7241279995,382962.1852799999,4340285.657064,1910083.01472,6093024.252470465,3232425.924034596,1311920.44045668,998818.0684908121,1231395.0989258015,3600977.333210046,3990518.4507363476,1236249.9398726407,567260.5579050005,1266534.7121170927,1921007.2012449403,6707379.450239999,378529.16544,4288808.027736001,1878854.7456,5966275.815533375,3194135.2648137244,1291811.2967251441,986439.988468548,1205316.087208128,3526069.0069802245,3939407.840482065,1216928.1082682465,555460.2784261572,1245786.0924771402,1880595.8364070565
2023-09-30,6687531.849599999,369598.15296,4324416.27768,2039058.7488000004,5989813.462563838,3215420.89948908,1378852.0454705763,998215.9434928079,1201749.4733731197,3539979.756375229,4031582.175821563,1237929.241404153,557651.6333646935,1254247.0499372869,1879928.783975501,6531076.500479998,364854.0412799999,4268948.183999999,2004895.1520000002,5853046.06801555,3174176.1188908797,1356912.094242528,984860.098091424,1173634.4471362557,3459150.226197191,3976293.5598279573,1217047.8153057478,544918.5889322478,1231865.277245316,1836347.769769349
2023-10-31,6694719.885503998,346303.085184,4614613.3512,2037706.0963200002,5995370.799060249,3410346.720050064,1396062.3292994306,1030419.7204161313,1203041.1634250686,3543264.1422446067,4220194.1474688975,1261424.6166657647,558169.0213925091,1284030.8469817727,1881844.6865084027,6537877.924031999,342136.1376000001,4562557.368264001,2002071.05568,5857920.767250316,3371762.796328116,1373585.8257265682,1017790.0187038202,1174856.6629485502,3462031.1734449365,4166831.76876272,1240892.7361362644,545372.4234310043,1262078.1429957293,1838114.998613169
2023-11-30,6579583.940159999,329309.3750400001,4782257.37936,2079960.7680000002,5911471.123385183,3521420.4525976796,1428719.1994823038,1050120.681889392,1182351.2340467516,3493679.4339206424,4346875.519515643,1272871.1008190678,550357.9615871604,1292609.0074781454,1851764.610693727,6447026.2348799985,324810.0777599999,4741906.06296,2048427.5328000004,5794951.051878911,3490961.8021901995,1409168.6408806562,1039394.6910539279,1158530.6144079356,3424816.071660436,4303231.516736915,1255385.7777322,539509.9429299267,1274200.2400904144,1814763.878088594
2023-12-31,6442518.902399999,317472.01084800006,5119643.6901360005,2156340.46752,5818071.854256479,3754652.3837836925,1490739.8897937166,1100932.6798583786,1157720.6467612798,3438480.4658655785,4607373.317043969,1307733.3595406404,541662.4896312782,1322334.1676156383,1816725.8959290313,6313394.041919999,312790.248,5082141.342672,2129762.70432,5705597.806993727,3726127.4311057683,1473999.048482832,1090888.5062853359,1134516.9093330237,3372008.3039332917,4567818.447199713,1291343.804025702,531191.155831116,1304753.2315734313,1780805.6600504534
2024-01-31,6160122.976896001,289090.505952,4851866.632536,2066221.68192,5564140.91671415,3553164.510216876,1424334.195671227,1038714.7456717417,1106974.0989482114,3288407.281778063,4371550.064889424,1241331.3820344512,518021.5193460874,1256214.6775593061,1737223.0869452893,6027599.146464,282104.22095999995,4806783.254664,2039350.9017599998,5448807.239273193,3518284.5492062764,1406852.554738392,1026275.035922604,1083159.5666195808,3220245.0784104564,4325694.988518505,1223101.1261536242,507283.9539763343,1236921.781805737,1700369.331633829
2024-02-29,7062805.550303999,331975.18742400006,5989859.629272,2369567.2176,6379631.724267849,4375747.071828973,1661130.2301857425,1256785.2744899113,1269186.1573896287,3770362.3490422987,5305472.3924431205,1469555.4694467622,593943.7135293366,1491126.814489953,1991806.4011509498,6911732.528064,324414.238752,5945863.798871999,2341948.99104,6248903.824033112,4341386.34640206,1643299.2670419791,1244158.9955471016,1242038.3352931007,3693102.1600035694,5259787.595824383,1450112.16598884,581772.9460174828,1470249.8381445121,1949883.315081843
2024-03-31,7081065.345311999,355977.86774399993,6592954.037327999,2534591.07936,6435611.359842267,4812238.433039255,1788938.0471709503,1373318.0147416752,1272467.442552566,3803446.31366678,5802856.244724455,1565897.4572439478,599155.4176013152,1577710.736774873,2001650.8046135742,6941475.654624,349156.7061119999,6555276.9845280005,2512638.64512,6315706.5925385365,4782662.621668585,1774556.5723326434,1362439.8881184815,1247383.1751359326,3732582.596190275,5764345.585244299,1548785.052633341,587992.2837653378,1558986.0384278316,1963019.7451324181
2024-04-30,7774971.986879999,447562.7136000001,6690487.95432,2418192.4032,6975620.344238112,4920848.176072679,1737130.9671856798,1428448.1938988399,1397162.4660423358,4122591.623444723,5856344.338422896,1631120.0448664573,649430.254048568,1661904.4939893517,2187024.0271832496,7646515.914239998,443580.1056,6661065.39768,2402605.1520000002,6866425.778357374,4898334.67923852,1726780.4093109602,1420766.9320107603,1374078.9097889278,4058057.6350092087,5827531.136457555,1617344.711772776,639264.2399650717,1646035.1609381645,2151610.501688593
2024-05-31,7150575.958847999,409256.03807999997,5970571.189343999,2215236.07296,6413243.3927900335,4395621.037779215,1581010.1727834237,1283856.22059912,1284958.4998049855,3790226.8451389098,5255886.88537642,1478445.0105745476,597072.9598687522,1505805.5260453187,2011128.8136632396,7053690.5974079985,405892.5033599999,5943199.461335999,2200740.57216,6330204.952996577,4374824.819640444,1571397.5722457517,1276890.272889156,1267548.2003542173,3741151.127220978,5229228.153339327,1467007.4092276525,589342.0811239813,1493006.4925152548,1984337.955195486
