,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_linear_INF_0.01,FNeto-Presente_EPMAPS-FONAG_linear_INF_0.01_DIS_0.0346
2043,263277.992,330983.35508743394,151369.80459445433,-3077441.5123431543,-1141075.1073681572,-1936366.4049749973,-3868845.660448078,-1434517.4261412118,-2434328.234306867,-1769353.058474577,-656052.998269274,-1113300.0602053034,-2765311.5893943007,-1264669.8647997577
2044,263277.992,334293.1886383083,147770.63854668365,-2557013.9902353943,-947891.0224323643,-1609122.96780303,-3246729.260182727,-1203570.0742147155,-2043159.1859680119,-1435181.0694070002,-532024.9542829213,-903156.1151240792,-2377452.37460632,-1050926.7536707628
2045,263277.992,337636.12052469136,144257.05096863568,-5110964.448670224,-1884225.9700248842,-3226738.4786453396,-6554464.334370312,-2416391.669802295,-4138072.664568017,-2800434.071111821,-1032417.7867260046,-1768016.2843858164,-4475708.785092708,-1912273.335354452
2046,263277.992,341012.4817299383,140827.00703491404,-2836498.6348833353,-1077566.242130559,-1758932.3927527764,-3673992.7692290675,-1395724.4799153036,-2278268.289313764,-1517238.908481342,-576388.5830651051,-940850.3254162369,-2619280.771043702,-1081677.332451151
2047,263277.992,344422.6065472377,137478.52030278675,-3535035.2829540214,-1292547.1417442593,-2242488.1412097625,-4624564.541617576,-1690921.6462146963,-2933642.8954028804,-1845924.9716499734,-674942.3570071787,-1170982.614642795,-3278065.501950118,-1308461.1349455817
2048,263277.992,347866.8326127101,134209.65156177717,-4103910.5266532823,-1498570.7570780653,-2605339.769575217,-5422459.907825626,-1980048.004585121,-3442411.903240505,-2092025.989862633,-763917.4760498619,-1328108.513812771,-3790278.735853215,-1462318.1653745482
2049,263277.992,351345.5009388372,131018.50771060791,-2975821.5619923896,-1126260.8930597217,-1849560.668932668,-3971245.4104512045,-1502999.5278142733,-2468245.8826369313,-1480897.4244428799,-560476.0974533005,-920421.3269895792,-2819591.383575768,-1051439.8347001872
2050,263277.992,354858.9559482256,127903.24066084862,-3160514.9107085606,-1211534.1952387553,-1948980.7154698044,-4259896.59429201,-1632965.0509412817,-2626931.543350727,-1535411.661892945,-588576.1607543333,-946835.5011386111,-2981790.4992989525,-1074738.7417994598
2051,263277.992,358407.5455077078,124862.04626663166,-3607916.179423694,-1331692.296554009,-2276223.8828696846,-4911555.168138751,-1812869.2176421827,-3098685.950496568,-1711087.939782411,-631567.5073412274,-1079520.4324411836,-3457093.4960042755,-1204382.4787078153
2052,263277.992,361991.62096278486,121893.16327981632,-3354892.282092855,-1261041.0662925902,-2093851.2158002644,-4612777.870739492,-1733856.6593439125,-2878921.2113955785,-1553257.1850036746,-583840.2345310973,-969416.9504725769,-3240912.832358363,-1091310.1137523933
2053,263277.992,365611.53717241273,118994.87232999661,-2787450.058557912,-1030085.5203640788,-1757364.538193833,-3870904.259634014,-1430469.5491575894,-2440434.7104764245,-1259855.6427927339,-465572.1279760507,-794283.5148166831,-2806046.247648837,-913278.3871466797
2054,263277.992,369267.65254413686,116165.49492876143,-4635355.913627855,-1688013.4542079032,-2947342.4594199513,-6501443.527159462,-2367568.8232166106,-4133874.7039428507,-2045246.5843690452,-744797.9865877632,-1300448.597781282,-4503142.356486987,-1416614.0927100433
