,Papallacta_BAU,Mica_BAU,Orientales_BAU,Occidentales_BAU,Bellavista_BAU,Puengasi_BAU,El Placer_BAU,El Troje_BAU,Paluguillo_BAU,Norte_BAU,Centro_BAU,Sur_BAU,Parroquias Norte_BAU,Parroquias Sur_BAU,Parroquiales Orientales_BAU,Papallacta_BASE,Mica_BASE,Orientales_BASE,Occidentales_BASE,Bellavista_BASE,Puengasi_BASE,El Placer_BASE,El Troje_BASE,Paluguillo_BASE,Norte_BASE,Centro_BASE,Sur_BASE,Parroquias Norte_BASE,Parroquias Sur_BASE,Parroquiales Orientales_BASE
2022-08-31,7447339.464767999,361130.84150400007,4515810.402671999,1841543.8300799995,6563697.268938162,3346970.2692797524,1286052.9510734782,1009573.5543994511,1338286.9018188096,3879145.0859424546,4071110.743951788,1271642.5967358705,611080.215738143,1328776.031790363,2080836.9877740846,7729019.373599998,390423.698784,4921248.575736,2139120.7660800004,6868594.494785517,3646110.7921803487,1471624.1866091664,1107654.0338257991,1388904.7814359197,4059339.346418242,4494335.510578928,1380809.7193313106,639466.1474645318,1421587.1605380082,2166274.661551282
2022-09-30,7364139.027840001,365295.01824,4546632.915360001,1761861.9743999997,6475680.289564416,3370551.545108881,1245904.364333664,1011020.1907396321,1323335.7833028478,3827127.05113257,4058433.3686227184,1261155.7545684269,602885.8349584471,1322498.24262311,2055843.7670645865,7788994.2144,405090.90144000005,5055859.88568,2153659.8816000004,6921380.83696416,3747571.91500716,1488683.800834704,1137027.722294952,1399682.26032768,4090536.0746458177,4599319.483468965,1405664.9741922142,644380.5559213633,1446557.8615082563,2183023.4338754457
2022-10-31,7259640.3532799985,377251.30079999997,4720792.432535999,1788516.5990400002,6396625.50051571,3498778.292483484,1271860.4510270641,1045871.4627089641,1304557.3714844156,3780405.6708047837,4194807.235592992,1281800.5906766518,595525.8340980125,1338426.8592006925,2028197.169882725,7658724.685247999,411349.79692800005,5163292.9656,2118215.58624,6805764.942615473,3826186.6171646877,1477093.4674728767,1154374.6042190301,1376272.8259390653,4022207.0810857443,4659812.183185885,1407438.6833558748,633616.7161575005,1448088.876852495,2146529.75664197
2022-11-30,7389684.146879999,348252.69600000005,5297432.931360001,1987858.9727999996,6552784.986767712,3893603.9097218406,1414049.9741020799,1132833.13395192,1327926.2411943357,3872695.9271797165,4667054.736178291,1367809.7817423386,610064.2822680739,1421068.443526519,2069472.063495217,7755764.929919999,381927.2083200001,5643970.42968,2242589.3279999997,6916235.114049406,4153030.553375641,1573212.551083632,1221232.6739241362,1393710.9579066238,4087494.9524032,5032602.6455715895,1471123.5539215326,643901.4891179998,1512801.728267738,2176609.2928583412
2022-12-31,7155846.434016,342334.95523200004,5125175.925336,1947115.3766399997,6350936.6623447575,3769338.9943429553,1380977.043385147,1100481.0503752294,1285905.6041926753,3753403.5674457517,4528238.662511213,1328739.556368408,591272.203264297,1377779.6808345655,2004640.8447468143,7447310.029151999,368988.731424,5374234.9845360005,2119365.6912000002,6632711.867164923,3956853.6316469884,1489716.8407212626,1164559.7680944551,1338281.6122386144,3919932.7134944703,4787160.03913964,1403973.6137104628,617505.4748330545,1446090.1429384414,2089037.683618171
2023-01-31,6482873.632031999,272984.83142400003,4378318.327728,1840216.1472,5772601.803482236,3211620.8229621355,1272876.1788203428,942030.1369816272,1164972.3916761503,3411607.6658580014,3939114.4715328696,1172547.9227124245,537429.2279041961,1212231.115305799,1818366.0274257532,6793762.296383998,308316.81110399996,4697627.131728,2048583.3465599997,6079278.668425399,3452528.906179416,1405711.883045606,1023936.4199074032,1220839.0846602046,3592853.6930394107,4265990.162480523,1264246.1183353066,565980.8440304048,1294214.11350446,1909115.572240101
2023-02-28,6257557.998719999,275914.211328,4377759.027264001,1755075.6518400002,5566708.102632767,3212495.5633727047,1227739.1753386369,937635.4002826945,1124483.1723699837,3289924.4886559653,3901958.313189298,1149610.7996871348,518260.5243551106,1189822.5942020311,1754541.8919949492,6612443.582975999,315989.589888,4709184.588864001,1961816.12928,5909053.801808102,3464020.3992488645,1360688.727091277,1023783.9288352705,1188256.111860787,3492250.7968685883,4238414.699809154,1246484.2922066308,550132.9089483343,1277893.969149334,1857214.96093011
2023-03-31,6574342.465151999,277163.456832,4214888.2656000005,1779521.4604800001,5832514.470107405,3097968.9181830725,1230185.8395438914,914971.0187068416,1181409.3409878144,3447016.0518334755,3801696.6296413974,1153363.2278358398,543007.0971669992,1198412.2156070303,1841461.4271336298,6943823.754336,316901.88662400004,4508145.062928,1960669.68768,6180467.513568566,3322381.4548101365,1347048.8658707903,993325.2866899631,1247805.1286541794,3652656.300519022,4100410.1634917757,1243405.710413087,575401.5255132334,1281836.839073844,1947349.8308765688
2023-04-30,6862397.1897599995,340902.27648,4684880.47536,2005852.8959999997,6124933.900540223,3457649.1926959194,1383495.885250848,1036177.6638961439,1233172.7749998719,3619835.9352192716,4251892.080307873,1272234.1181652674,570231.3461402948,1303594.8835159556,1926528.6262416083,7110928.258560001,371702.59776,4898110.00104,2044600.1856000002,6338333.225314943,3621647.7918637195,1419169.5828099363,1087765.143812568,1277833.808063232,3745954.936161132,4428392.1716028,1324855.8452445434,590098.8232768213,1358424.8483520425,1995298.9317849898
2023-05-31,7220118.820319999,373198.8280320001,5371920.9072,2255966.7695999998,6480383.163025967,3957043.8128886716,1562284.0833066434,1175802.7201059456,1297455.352011504,3829906.4493483463,4848322.714453974,1410726.8140222216,603323.6724777175,1434513.2009038255,2031254.923633366,7397761.262975999,394570.61193600006,5530577.879736,2245286.11392,6623378.05882314,4078399.63230774,1567781.2988243855,1210660.0883217289,1329377.698956787,3914416.4327644766,4961362.413165631,1443678.5353175215,616636.4972764344,1472413.7231493925,2079275.9612703822
2023-06-30,6975374.615999999,376184.9952,4648809.49704,1990219.5071999996,6213679.195197598,3447460.1050779605,1374263.21588904,1048118.4084164399,1253474.8184951998,3672284.4043617803,4235029.090831387,1284714.530220441,578493.5330728964,1315843.06190924,1956807.9374407805,7127556.690239999,394554.24000000005,4802150.506320001,2023712.2944,6346776.235486175,3563758.595755081,1402755.0074906403,1083615.7567374003,1280821.937236128,3750944.7551723295,4362877.513243472,1320525.2948035602,590884.8675237629,1352491.3983648773,1999206.370811652
2023-07-31,6738003.740159998,403506.04896,4510868.814936001,1794316.4064000002,5970376.893547582,3361848.689976445,1262348.5089731764,1027851.3807555242,1210819.2721067518,3528492.744086621,4064479.541416909,1239938.3300282585,555842.0887892799,1276111.4672198894,1886430.8993489384,6917180.772095999,413261.31744,4695957.6984,1948328.4240000003,6155556.1284055095,3496842.89502984,1356566.2552117442,1071972.470143152,1243017.384745651,3637933.671887656,4264273.37992513,1293763.677555837,573082.2755545529,1322790.316982255,1939735.6164247643
2023-08-31,6444775.882943998,360297.64483199996,3990193.9416000005,1599492.2688000004,5681545.575222585,2975261.0487750727,1123300.8857214435,911824.3905548258,1158126.2261650367,3357793.434956547,3602232.615424523,1126588.0063255257,528951.8930532226,1170610.3483775551,1800887.0228585314,6707379.450239999,378529.16544,4288808.027736001,1878854.7456,5966275.815533375,3194135.2648137244,1291811.2967251441,986439.988468548,1205316.087208128,3526069.0069802245,3939407.840482065,1216928.1082682465,555460.2784261572,1245786.0924771402,1880595.8364070565
2023-09-30,6245675.372159999,343943.96256,3947033.389680001,1712140.4159999997,5546296.131009984,2937678.7975786803,1179667.0981654557,904339.4074091283,1122347.8643771517,3277861.013426901,3616032.433764858,1120217.019348665,516360.1697970295,1150764.5808114628,1750040.0297923656,6531076.500479998,364854.0412799999,4268948.183999999,2004895.1520000002,5853046.06801555,3174176.1188908797,1356912.094242528,984860.098091424,1173634.4471362557,3459150.226197191,3976293.5598279573,1217047.8153057478,544918.5889322478,1231865.277245316,1836347.769769349
2023-10-31,6237380.219616,321835.33872,4269011.303736,1740997.4976000006,5546665.920216758,3155572.105424605,1215035.1028008724,944120.784307572,1120857.225464995,3278079.558848104,3840425.1228904747,1150712.930114623,516394.5971721802,1184779.4861583344,1748635.5438981084,6537877.924031999,342136.1376000001,4562557.368264001,2002071.05568,5857920.767250316,3371762.796328116,1373585.8257265682,1017790.0187038202,1174856.6629485502,3462031.1734449365,4166831.76876272,1240892.7361362644,545372.4234310043,1262078.1429957293,1838114.998613169
2023-11-30,6208223.797439999,301778.52479999996,4519566.836639999,1880543.6928000003,5557437.799181855,3323894.96058696,1304629.9184721604,981622.0094594399,1115617.8163999678,3284445.7393164765,4066109.204264241,1187796.6884143953,517397.45910383074,1214479.5216068332,1744825.1865185716,6447026.2348799985,324810.0777599999,4741906.06296,2048427.5328000004,5794951.051878911,3490961.8021901995,1409168.6408806562,1039394.6910539279,1158530.6144079356,3424816.071660436,4303231.516736915,1255385.7777322,539509.9429299267,1274200.2400904144,1814763.878088594
2023-12-31,6096481.675199999,287854.102944,4879762.838136001,2006926.72704,5497226.617165918,3572337.1987693077,1394606.3187378387,1038273.1491294792,1095537.7570334396,3248860.9307450573,4363692.664279653,1232471.7945745825,511791.798058147,1251020.6826908332,1718154.2832904214,6313394.041919999,312790.248,5082141.342672,2129762.70432,5705597.806993727,3726127.4311057683,1473999.048482832,1090888.5062853359,1134516.9093330237,3372008.3039332917,4567818.447199713,1291343.804025702,531191.155831116,1304753.2315734313,1780805.6600504534
2024-01-31,5736538.463039999,243262.68019200003,4526682.1488,1857490.7558399998,5164974.338672736,3303555.309990432,1290502.5135743232,950362.8420119616,1030855.961808288,3052499.834155586,4036063.6766046705,1139058.076671077,480859.1109304316,1161769.167340163,1615798.1869573018,6027599.146464,282104.22095999995,4806783.254664,2039350.9017599998,5448807.239273193,3518284.5492062764,1406852.554738392,1026275.035922604,1083159.5666195808,3220245.0784104564,4325694.988518505,1223101.1261536242,507283.9539763343,1236921.781805737,1700369.331633829
2024-02-29,6534335.247552,282326.472864,5663155.297176001,2185258.2883200003,5900538.154115403,4123407.7434413885,1540017.0628050384,1167868.8419559912,1174220.0439850944,3487218.0490822033,4978236.819278171,1363215.404979196,549340.1021481442,1388096.016583617,1842563.603264638,6911732.528064,324414.238752,5945863.798871999,2341948.99104,6248903.824033112,4341386.34640206,1643299.2670419791,1244158.9955471016,1242038.3352931007,3693102.1600035694,5259787.595824383,1450112.16598884,581772.9460174828,1470249.8381445121,1949883.315081843
2024-03-31,6626938.473791999,310726.647936,6310562.839200001,2431809.3542400002,6037731.479190699,4593112.647775058,1714180.6711670978,1299116.769938237,1190860.843740422,3568299.3042017035,5544255.693638181,1480854.829765445,562112.8007126543,1491137.3091745349,1875045.7547383422,6941475.654624,349156.7061119999,6555276.9845280005,2512638.64512,6315706.5925385365,4782662.621668585,1774556.5723326434,1362439.8881184815,1247383.1751359326,3732582.596190275,5764345.585244299,1548785.052633341,587992.2837653378,1558986.0384278316,1963019.7451324181
2024-04-30,7386585.514559998,421261.6896,6480967.23072,2400095.3184,6652685.150010141,4761420.290945281,1712846.087352,1381214.41468128,1327369.4169664318,3931736.923655994,5693500.024349869,1575415.034365918,619364.9874659443,1597861.199463462,2080809.1268024882,7646515.914239998,443580.1056,6661065.39768,2402605.1520000002,6866425.778357374,4898334.67923852,1726780.4093109602,1420766.9320107603,1374078.9097889278,4058057.6350092087,5827531.136457555,1617344.711772776,639264.2399650717,1646035.1609381645,2151610.501688593
2024-05-31,6927178.944671999,387469.155744,5785777.900799999,2234271.46176,6234810.474983932,4255619.965930223,1578234.6500380703,1245342.6392859071,1244814.0563575584,3684772.9907155037,5128477.10091906,1441096.3891916957,580460.8552210041,1461302.2296768122,1950904.784038229,7053690.5974079985,405892.5033599999,5943199.461335999,2200740.57216,6330204.952996577,4374824.819640444,1571397.5722457517,1276890.272889156,1267548.2003542173,3741151.127220978,5229228.153339327,1467007.4092276525,589342.0811239813,1493006.4925152548,1984337.955195486
