years,BAU_yearly_losses,NBS_yearly_benefits,GROSS_yearly_benefits,NBS_yearly_investments,NET_yearly_cashflow,BAU_cumul_losses,NBS_cumul_benefits,GROSS_cumul_benefits,NBS_cumul_investments,NET_cumul_cashflow,ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.039528449450627,0.132586152520495,0.172114601971122,0.90619214923642,-0.734077547265298,-0.039528449450627,0.132586152520495,0.172114601971122,11.9571119192364,-11.7849973172653,-0.985605671073947
2022,-0.0603233159294978,0.39406756913131,0.454390885060807,0.884645341899076,-0.430254456838269,-0.0998517653801248,0.526653721651804,0.626505487031929,12.8417572611355,-12.2152517741036,-0.951213414621378
2023,-0.157670597870702,0.752441229477658,0.91011182734836,0.863610859576713,0.0465009677716478,-0.257522363250827,1.27909495112946,1.53661731438029,13.7053681207122,-12.1687508063319,-0.887882083804952
2024,-0.221853194342752,0.851810414396503,1.07366360873926,0.843076520561067,0.230587088178188,-0.479375557593579,2.13090536552597,2.61028092311955,14.5484446412733,-11.9381637181537,-0.820580069726884
2025,-0.25082943802478,1.0889436157755,1.33977305380028,0.823030432792072,0.516742621008213,-0.730204995618359,3.21984898130147,3.95005397691983,15.3714750740653,-11.4214210971455,-0.743027005678568
2026,-0.280144984268447,1.76869217271767,2.04883715698612,0.803460986970803,1.24537617001531,-1.01034997988681,4.98854115401914,5.99889113390595,16.1749360610361,-10.1760449271302,-0.629124275281886
2027,-0.338434411279039,2.25241262483271,2.59084703611175,0.784356849836179,1.80649018627557,-1.34878439116584,7.24095377885185,8.5897381700177,16.9592929108723,-8.36955474085463,-0.493508472602006
2028,-0.275191049420039,2.96263586217213,3.23782691159216,0.765706957601528,2.47211995399064,-1.62397544058588,10.203589641024,11.8275650816099,17.7249998684739,-5.89743478686399,-0.332718467172083
2029,-0.72619847665194,2.6082815117664,3.33447998841834,0.74750050954721,2.58697947887113,-2.35017391723782,12.8118711527904,15.1620450700282,18.4725003780211,-3.31045530799286,-0.179209919623643
2030,-0.263954580513893,1.7562495994641,2.02020417997799,0.729726961765592,1.2904772182124,-2.61412849775172,14.5681207522545,17.1822492500062,19.2022273397867,-2.01997808978046,-0.105194988791488
2031,-0.636679064698594,2.82206513358468,3.45874419828327,0.712376021054754,2.74636817722852,-3.25080756245031,17.3901858858392,20.6409934482895,19.9146033608414,0.72639008744806,0.0364752475500656
2032,-0.695276672844025,2.3698832931772,3.06515996602123,0.695437638957376,2.36972232706385,-3.94608423529434,19.7600691790164,23.7061534143107,20.6100409997988,3.09611241451191,0.150223496136768
