years,senbau_BAU_yearly_losses,NBS_yearly_benefits,senbau_GROSS_yearly_benefits,NBS_yearly_investments,senbau_NET_yearly_cashflow,senbau_BAU_cumul_losses,NBS_cumul_benefits,senbau_GROSS_cumul_benefits,NBS_cumul_investments,senbau_NET_cumul_cashflow,senbau_ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.0817829988633661,0.132586152520495,0.214369151383861,0.90619214923642,-0.691822997852559,-0.0817829988633661,0.132586152520495,0.214369151383861,11.9571119192364,-11.7427427678526,-0.982071828646265
2022,-0.124806860543789,0.39406756913131,0.518874429675098,0.884645341899076,-0.365770912223978,-0.206589859407155,0.526653721651804,0.733243581058959,12.8417572611355,-12.1085136800765,-0.942901616488418
2023,-0.326215030077315,0.752441229477658,1.07865625955497,0.863610859576713,0.215045399978261,-0.53280488948447,1.27909495112946,1.81189984061393,13.7053681207122,-11.8934682800983,-0.867796339021664
2024,-0.459006608985004,0.851810414396503,1.31081702338151,0.843076520561067,0.46774050282044,-0.991811498469474,2.13090536552597,3.12271686399544,14.5484446412733,-11.4257277772778,-0.78535733949618
2025,-0.518957457982303,1.0889436157755,1.60790107375781,0.823030432792072,0.784870640965736,-1.51076895645178,3.21984898130147,4.73061793775325,15.3714750740653,-10.6408571363121,-0.692246975975994
2026,-0.579610312279544,1.76869217271767,2.34830248499722,0.803460986970803,1.54484149802641,-2.09037926873132,4.98854115401914,7.07892042275046,16.1749360610361,-9.09601563828569,-0.562352494251715
2027,-0.700209126784219,2.25241262483271,2.95262175161693,0.784356849836179,2.16826490178075,-2.79058839551554,7.24095377885185,10.0315421743674,16.9592929108723,-6.92775073650493,-0.408492899610435
2028,-0.569360791903529,2.96263586217213,3.53199665407565,0.765706957601528,2.76628969647413,-3.35994918741907,10.203589641024,13.563538828443,17.7249998684739,-4.16146104003081,-0.234779185946991
2029,-1.50247960686608,2.6082815117664,4.11076111863249,0.74750050954721,3.36326060908528,-4.86242879428515,12.8118711527904,17.6742999470755,18.4725003780211,-0.798200430945531,-0.0432101997353453
2030,-0.546112925201158,1.7562495994641,2.30236252466526,0.729726961765592,1.57263556289967,-5.40854171948631,14.5681207522545,19.9766624717408,19.2022273397867,0.774435131954135,0.0403304844927817
2031,-1.31726703041088,2.82206513358468,4.13933216399557,0.712376021054754,3.42695614294081,-6.72580874989719,17.3901858858392,24.1159946357364,19.9146033608414,4.20139127489495,0.210970371780351
2032,-1.4385034610566,2.3698832931772,3.8083867542338,0.695437638957376,3.11294911527643,-8.1643122109538,19.7600691790164,27.9243813899702,20.6100409997988,7.31434039017137,0.354892083438494
