years,sendr9_BAU_yearly_losses,sendr9_NBS_yearly_benefits,sendr9_GROSS_yearly_benefits,sendr9_NBS_yearly_investments,sendr9_NET_yearly_cashflow,sendr9_BAU_cumul_losses,sendr9_NBS_cumul_benefits,sendr9_GROSS_cumul_benefits,sendr9_NBS_cumul_investments,sendr9_NET_cumul_cashflow,sendr9_ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.0375193888088245,0.125847370089637,0.163366758898461,0.860134309724771,-0.696767550826309,-0.0408961338016187,0.137173633397704,0.163366758898461,11.9110540797248,-11.7476873208263,-0.986284441510802
2022,-0.0543471980916735,0.355028033706134,0.409375231797807,0.797005186075246,-0.387629954277439,-0.146362173655955,0.696156073641666,0.572741990696268,12.7080592658,-12.1353172751037,-0.954930805820395
2023,-0.134830654540093,0.643443640371178,0.778274294911271,0.738509392601834,0.0397649023094373,-0.426437821228692,2.08841668803187,1.35101628560754,13.4465686584019,-12.0955523727943,-0.899527060030785
2024,-0.180073410843493,0.69139597997138,0.871469390814874,0.684306868374176,0.187162522440698,-0.96070178399808,4.45663915297761,2.22248567642241,14.130875526776,-11.9083898503536,-0.842721303983528
2025,-0.193245053371291,0.838948445628916,1.03219349900021,0.63408251106231,0.398110987937897,-1.79229721505047,8.11568779329412,3.25467917542262,14.7649580378383,-11.5102788624157,-0.77956732643047
2026,-0.204860726267742,1.29338586586939,1.49824659213713,0.587544345112783,0.910702247024351,-2.96746459283345,13.9438740126204,4.75292576755975,15.3525023829511,-10.5995766153914,-0.69041361147497
2027,-0.234907210483077,1.56339884161504,1.79830605209812,0.54442182437056,1.25388422772756,-4.57205154114142,22.6300144758584,6.55123181965787,15.8969242073217,-9.34569238766381,-0.587893121070518
2028,-0.181301798981659,1.95184840739327,2.13315020637492,0.504464259279143,1.62868594709578,-6.53789368097146,35.2053351579108,8.6843820260328,16.4013884666008,-7.71700644056802,-0.470509338662556
2029,-0.454118420618818,1.63105365645145,2.08517207707027,0.467439359515536,1.61773271755473,-9.49003256661448,51.3231303148199,10.7695541031031,16.8688278261164,-6.09927372301329,-0.361570690381366
2030,-0.15667112581806,1.04242783523537,1.19909896105343,0.43313188358779,0.765967077465636,-12.8130689843766,69.9087312622488,11.9686530641565,17.3019597097041,-5.33330664554765,-0.308248703327887
2031,-0.358695812848237,1.58991084068554,1.94860665353378,0.401342387544649,1.54726426598913,-17.0616935490848,92.5969801250641,13.9172597176903,17.7033020972488,-3.78604237955852,-0.21386080171715
