,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2029,928263.76,683469.4845186415,1015228.4034786101,747500.50954721,-3121157.211371209,-2298070.6586644305,-3433272.9325083303,-2527877.724530874,-1130673.6462220247,-832501.4585748559,-1236601.1150853557,-910494.5847315695,-1990483.5651491843,-1884556.0962858533,-2302599.2862863056,-2196671.817422975,-1465569.2000895746,-1387576.073932861,-1695376.265956018,-1617383.1397993043
2030,928263.76,660612.2989741362,1025380.6875133963,729726.9617655925,-1262674.3232313558,-898600.401598655,-1388941.7555544914,-988460.4417585207,-505542.86589239235,-359776.8751277619,-558433.835008526,-397417.49647742993,-757131.4573389634,-704240.4882228298,-883398.8896620991,-830507.9205459654,-538823.5264708931,-501182.9051212251,-628683.5666307588,-591042.9452810907
2031,928263.76,638519.5234623394,1035634.4943885303,712376.021054754,-2757453.8955576518,-1896754.1589266,-3336519.213624759,-2295072.532301186,-1008438.5418089075,-693668.8955269352,-1125082.9606535265,-773904.4298056919,-1749015.3537487444,-1632370.9349041253,-2328080.6718158517,-2211436.252971233,-1203085.2633996648,-1122849.7291209078,-1601403.6367742508,-1521168.1024954943
2032,928263.76,617165.5939129513,1045990.8393324156,695437.6389573764,-3140473.4165572342,-2087975.6646940312,-3799972.834034254,-2526450.554279778,-1152578.116779317,-766303.273514823,-1298753.8711693028,-863489.7092685676,-1987895.2997779173,-1841719.5453879314,-2647394.7172549367,-2501218.962864951,-1321672.3911792082,-1224485.9554254636,-1760147.280764955,-1662960.8450112105
2033,928263.76,596525.801191718,1056450.7477257398,678902.0059413785,-2609380.2390235476,-1676853.8262199939,-3157350.089218493,-2028993.129726193,-983026.446540966,-631717.6904713992,-1118775.7932964878,-718953.6586563361,-1626353.7924825815,-1490604.4457270599,-2174323.642677527,-2038574.2959220053,-1045136.1357485947,-957900.1675636577,-1397275.4392547938,-1310039.4710698568
2034,928263.76,576576.2625089097,1067015.2552029972,662759.5457189179,-2394565.345911057,-1487346.1584655116,-2897424.0685523795,-1799688.8517432695,-905616.6451887743,-562509.3675409679,-1040982.9807232616,-646590.0126929468,-1488948.7007222828,-1353582.3651877956,-1991807.423363605,-1856441.087829118,-924836.7909245437,-840756.1457725648,-1237179.4842023016,-1153098.8390503228
2035,928263.76,557293.8937839838,1077685.407755027,647000.9097004706,-3467064.5645784237,-2081492.3456608735,-4195148.123139894,-2518605.738249657,-1290967.2799377502,-775047.1505902881,-1498772.9344061785,-899805.6807833008,-2176097.2846406735,-1968291.6301722452,-2904180.8432021434,-2696375.188733715,-1306445.1950705852,-1181686.6648775726,-1743558.5876593692,-1618800.0574663565
2036,928263.76,538656.3829344518,1088462.2618325776,631616.9715807805,-3461338.9494565926,-2008558.7728044272,-4607042.141726726,-2673391.726602693,-1297567.1694218463,-752957.153142838,-1521499.553218148,-882901.478317835,-2163771.780034746,-1939839.3962384446,-3309474.9723048797,-3085542.588508578,-1255601.6196615892,-1125657.294486592,-1920434.573459855,-1790490.2482848582
2037,928263.76,520642.1640580435,1099346.8844509032,616598.8220535358,-3149105.77003137,-1766262.2560605018,-4191459.779911755,-2350895.0628165286,-1203455.2554034758,-674990.8544531472,-1425257.3919333844,-799394.6600650663,-1945650.5146278944,-1723848.3780979859,-2988004.5245082793,-2766202.3879783708,-1091271.4016073546,-966867.5959954355,-1675904.2083633814,-1551500.4027514623
2038,928263.76,503230.39247829455,1110340.3532954121,601937.7636517216,-5079664.596799934,-2753788.0060142917,-6761033.578340715,-3665291.836005023,-1869755.5055624535,-1013631.941101143,-2236503.328129773,-1212453.2876235065,-3209909.0912374808,-2843161.2686701613,-4891278.072778261,-4524530.250210942,-1740156.0649131485,-1541334.7183907852,-2651659.89490388,-2452838.5483815167
2039,928263.76,486400.92062468064,1121443.7568283663,587625.3057106504,-3216732.043007225,-1685535.3990353171,-4281470.349242617,-2243447.616116008,-1218018.7896777794,-638229.656447464,-1471499.4016181228,-771050.9603926814,-1998713.2533294454,-1745232.641389102,-3063451.559564838,-2809970.9476244943,-1047305.7425878531,-914484.4386426357,-1605217.9596685437,-1472396.6557233264
2040,928263.76,470134.27471938974,1132658.1943966502,573653.1594507607,-4905522.502465388,-2484481.6346339006,-6529250.450781433,-3306845.0556977224,-1841382.4664650008,-932598.0908190621,-2246836.545315415,-1137946.9016919092,-3064140.036000387,-2658685.9571499727,-4687867.984316432,-4282413.905466018,-1551883.5438148384,-1346534.7329419914,-2374246.96487866,-2168898.1540058134
2041,928263.76,454411.6322437558,1143984.7763406166,560013.2331773326,-5084053.2536626775,-2488789.325795757,-7443562.368687528,-3643836.451897569,-1889307.5913951492,-924870.0460054463,-2328367.4484726293,-1139802.3905658845,-3194745.6622675285,-2755685.805190048,-5554254.777292379,-5115194.920214899,-1563919.2797903107,-1348986.9352298726,-2718966.4058921225,-2504034.0613316847
2042,928263.76,439214.8001582793,1155424.6241040227,546697.6275943416,-2386071.8412211887,-1128987.3762875996,-3493447.7827319433,-1652950.417622675,-867768.7715247384,-410591.1530671342,-1080125.5525134155,-511069.32009608,-1518303.0696964501,-1305946.2887077732,-2625679.011207205,-2413322.230218528,-718396.2232204654,-617918.0561915196,-1242359.2645555409,-1141881.097526595
2043,928263.76,424526.1938510336,1166978.870345063,533698.6312297363,-4785291.706471796,-2188474.6148178712,-7006145.587445359,-3204145.6835548463,-1694966.2048743656,-775164.9721426652,-2130848.8301184415,-974508.7360968499,-3090325.5015974306,-2654442.8763533547,-5311179.382570993,-4875296.757326918,-1413309.642675206,-1213965.8787210213,-2428980.711412181,-2229636.947457996
2044,928263.76,410328.8167900963,1178648.6590485137,521008.71596948936,-5772799.058728845,-2551802.5257553826,-8451955.101884903,-3736094.0779584567,-2166501.5789869875,-957678.2675212979,-2750882.120938881,-1215997.2784178082,-3606297.4797418574,-3021916.937789964,-6285453.522897916,-5701072.980946023,-1594124.2582340846,-1335805.2473375744,-2778415.8104371587,-2520096.7995406482
2045,928263.76,396606.2408564627,1190435.1456389988,508620.532697839,-5346020.041280125,-2284119.0225022053,-7827107.942438234,-3344178.66084548,-1976065.013431863,-844285.5904071776,-2534168.997459181,-1082738.8540701799,-3369955.0278482623,-2811851.043820944,-5851042.929006371,-5292938.944979053,-1439833.4320950278,-1201380.1684320255,-2499893.070438302,-2261439.8067753
2046,928263.76,383342.5873346827,1202339.4970953888,496526.9070411922,-4846669.0568294525,-2001515.8797106855,-7805608.982714404,-3223461.339432857,-1783185.8122514656,-736397.4469572899,-2309682.6840789947,-953823.4434973054,-3063483.244577987,-2536986.372750458,-6022423.170462939,-5495926.29863541,-1265118.4327533955,-1047692.4362133801,-2487063.892475567,-2269637.8959355517
2047,928263.76,370522.5085392255,1214362.8920663428,484720.8352132265,-5589682.952189695,-2231158.2533226004,-9002240.291331029,-3593302.678558582,-2133179.9494830472,-851472.631063435,-2790644.9485350675,-1113904.055430895,-3456503.002706648,-2799038.0036546276,-6869060.341847981,-6211595.342795961,-1379685.6222591654,-1117254.1978917054,-2741830.047495147,-2479398.623127687
2048,928263.76,358131.17005531176,1226506.5209870061,473195.4799587849,-4194561.909495868,-1618293.6674347792,-6755383.900862193,-2606278.1343403873,-1602339.6103963507,-618194.7246300097,-2117156.853119961,-816815.1054377835,-2592222.299099517,-2077405.0563759068,-5153044.290465842,-4638227.047742232,-1000098.9428047695,-801478.5619969957,-1988083.4097103775,-1789463.0289026038
2049,928263.76,346154.23357366305,1238771.5861968761,461944.16659421293,-10384190.600446332,-3872317.000267613,-16723842.803924829,-6236405.252100996,-3767747.6041850634,-1405012.0670720632,-5028073.783711874,-1874994.0501314106,-6616442.996261269,-5356116.816734458,-12956095.199739765,-11695769.020212956,-2467304.93319555,-1997322.9501362026,-4831393.185028933,-4361411.201969585
2050,928263.76,334577.84029930696,1251159.302058845,450960.3791418472,-3871151.92066648,-1395294.855728403,-6234528.8797525745,-2247136.318099151,-1553588.0438304162,-559965.9868436593,-2094001.9597509978,-754749.5479905466,-2317563.876836064,-1777149.9609154821,-4680940.835922158,-4140526.9200015767,-835328.8688847437,-640545.3077378564,-1687170.3312554916,-1492386.7701086043
2051,928263.76,323388.5949152397,1263670.8950794335,440237.7565564138,-7503640.100178578,-2614118.6732813944,-13293156.159512468,-4631070.690957063,-2751025.085320389,-958402.3154349342,-3745045.839075729,-1304699.336524637,-4752615.014858189,-3758594.261102849,-10542131.074192079,-9548110.320436738,-1655716.3578464603,-1309419.3367567575,-3672668.375522129,-3326371.354432426
