,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2029,928263.76,683469.4845186415,1015228.4034786101,747500.50954721,-1508559.3188294182,-1110734.1516878083,-1659415.25071236,-1221807.5668565892,-546492.2623406454,-402375.7049778471,-597690.538957922,-440072.38262025866,-962067.0564887727,-910868.7798714961,-1112922.9883717145,-1061724.711754438,-708358.4467099612,-670661.7690675496,-819431.861878742,-781735.1842363304
2030,928263.76,660612.2989741362,1025380.6875133963,729726.9617655925,-610292.5895618221,-434323.5274393501,-671321.8485180044,-477755.8801832851,-244345.71851465636,-173892.15631175163,-269909.6869207876,-192085.1232974245,-365946.87104716577,-340382.9026410345,-426976.13000334805,-401412.1615972168,-260431.37112759845,-242238.4041419256,-303863.72387153347,-285670.7568858606
2031,928263.76,638519.5234623394,1035634.4943885303,712376.021054754,-1332769.382852865,-916764.5101478565,-1612650.9532519667,-1109285.0572789065,-487411.9618743052,-335273.2995046853,-543790.0976492044,-374053.80773941777,-845357.4209785596,-788979.2852036605,-1125238.9913776615,-1068860.8556027622,-581491.2106431713,-542710.7024084388,-774011.7577742212,-735231.2495394887
2032,928263.76,617165.5939129513,1045990.8393324156,695437.6389573764,-1517895.4846693303,-1009188.2379354488,-1836653.53644989,-1221117.767901893,-557079.4231100032,-370379.9155321645,-627731.0377318297,-417353.35947980767,-960816.0615593271,-890164.4469375006,-1279574.1133398865,-1208922.49871806,-638808.3224032843,-591834.8784556411,-850737.8523697285,-803764.4084220853
2033,928263.76,596525.801191718,1056450.7477257398,678902.0059413785,-1261200.4488613815,-810479.3493396639,-1526052.5431222718,-980680.0127009933,-475129.44916146685,-305330.21706117626,-540741.6334266356,-347494.26835056243,-786070.9996999146,-720458.8154347459,-1050923.0939608049,-985310.9096956361,-505149.1322784876,-462985.08098910144,-675349.7956398171,-633185.7443504309
2034,928263.76,576576.2625089097,1067015.2552029972,662759.5457189179,-1157373.2505236778,-718883.9765916641,-1400421.6331336503,-869849.6116759137,-437714.71184124093,-271879.5276448012,-503141.7740162431,-312518.5061349243,-719658.5386824368,-654231.4765074346,-962706.9212924093,-897279.8591174071,-447004.44894686295,-406365.47045673983,-597970.0840311125,-557331.1055409894
2035,928263.76,557293.8937839838,1077685.407755027,647000.9097004706,-1675747.8728795717,-1006054.633736089,-2027654.9261842822,-1217326.1068206679,-623967.5186365794,-374606.12278530595,-724406.9182963198,-434906.07904526213,-1051780.3542429924,-951340.954583252,-1403687.4075477028,-1303248.0078879623,-631448.510950783,-571148.5546908269,-842719.9840353619,-782420.0277754057
2036,928263.76,538656.3829344518,1088462.2618325776,631616.9715807805,-1672980.4922373532,-970803.4068554733,-2226737.0351679176,-1292139.3345246352,-627157.4652205592,-363929.29068570514,-735391.450722105,-426735.714520287,-1045823.0270167941,-937589.0415152482,-1599579.5699473585,-1491345.5844458127,-606874.1161697682,-544067.6923351863,-928210.0438389301,-865403.6200043482
2037,928263.76,520642.1640580435,1099346.8844509032,616598.8220535358,-1522067.7888484956,-853693.4237625758,-2025872.2269573482,-1136265.9470279887,-581670.0401116799,-326245.5796523544,-688874.4061011358,-386374.0856981154,-940397.7487368156,-833193.3827473598,-1444202.1868456681,-1336997.8208562124,-527447.8441102214,-467319.33806446043,-810020.3673756344,-749891.8613298733
2038,928263.76,503230.39247829455,1110340.3532954121,601937.7636517216,-2455171.2217866355,-1330997.5362402413,-3267832.896198013,-1771557.7207357616,-903715.1610218526,-489922.1048655525,-1080976.608596057,-586019.0890180281,-1551456.0607647828,-1374194.6131905785,-2364117.73517616,-2186856.287601956,-841075.4313746887,-744978.4472222131,-1281635.615870209,-1185538.6317177336
2039,928263.76,486400.92062468064,1121443.7568283663,587625.3057106504,-1554753.8207868254,-814675.44286707,-2069377.3354672652,-1084333.0144560705,-588709.0816775935,-308477.667282941,-711224.7107820929,-372674.6308564628,-966044.7391092319,-843529.1100047325,-1480668.2537896717,-1358152.6246851725,-506197.775584129,-442000.81201060716,-775855.3471731294,-711658.3835996077
2040,928263.76,470134.27471938974,1132658.1943966502,573653.1594507607,-2371002.542858271,-1200832.790073052,-3155804.3845443595,-1598308.4435872326,-890001.525458084,-450755.7438958802,-1085970.9969024512,-550007.6691510896,-1481001.017400187,-1285031.5459558198,-2265802.8590862756,-2069833.3876419084,-750077.0461771719,-650825.1209219624,-1147552.6996913524,-1048300.774436143
2041,928263.76,454411.6322437558,1143984.7763406166,560013.2331773326,-2457292.4059369606,-1202914.8408012826,-3597721.811532305,-1761187.6184171583,-913165.3358409888,-447020.5222359657,-1125377.6000951042,-550904.4887735108,-1544127.0700959717,-1331914.8058418564,-2684556.475691316,-2472344.211437201,-755894.3185653168,-652010.3520277718,-1314167.0961811924,-1210283.1296436475
2042,928263.76,439214.8001582793,1155424.6241040227,546697.6275943416,-1153268.0565902411,-545677.2318723397,-1688499.7616537726,-798926.0351842928,-419421.57290362363,-198452.39064911488,-522060.6837148175,-247016.8380464387,-733846.4836866176,-631207.3728754236,-1269078.188750149,-1166439.077938955,-347224.8412232249,-298660.39382590103,-600473.644535178,-551909.1971378541
2043,928263.76,424526.1938510336,1166978.870345063,533698.6312297363,-2312890.9914613683,-1057762.7304953046,-3386303.70059859,-1548670.4137181758,-819233.6656892769,-374663.0698689549,-1029910.2678905802,-471012.5557801442,-1493657.3257720913,-1282980.723570788,-2567070.034909313,-2356393.43270801,-683099.6606263497,-586750.1747151604,-1174007.343849221,-1077657.8579380317
2044,928263.76,410328.8167900963,1178648.6590485137,521008.71596948936,-2790186.2117189425,-1233371.2207817687,-4085111.6325777047,-1805778.804346588,-1047142.4298437109,-462877.82930196077,-1329593.0251204595,-587732.0179019409,-1743043.7818752318,-1460593.186598483,-3037969.202733994,-2755518.6074572452,-770493.3914798079,-645639.2028798278,-1342900.9750446272,-1218046.7864446472
2045,928263.76,396606.2408564627,1190435.1456389988,508620.532697839,-2583909.6866187276,-1103990.8608760661,-3783102.1721784803,-1616353.019408649,-955098.0898254006,-408071.3686968026,-1224848.3487719377,-523323.7794672537,-1628811.596793327,-1359061.33784679,-2828004.0823530797,-2558253.8234065427,-695919.4921792636,-580667.0814088124,-1208281.6507118465,-1093029.2399413954
