,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_tri,Incomes_tri_DIS_0.0346,Incomes_tri_GRW_stepexp,Incomes_tri_GRW_stepexp_DIS_0.0346,Costs_tri,Costs_tri_DIS_0.0346,Costs_tri_INF_0.01,Costs_tri_INF_0.01_DIS_0.0346,Utility_I_tri_C_tri,Utility_I_tri_C_tri_INF_0.01,Utility_I_tri_GRW_stepexp_C_tri,Utility_I_tri_GRW_stepexp_C_tri_INF_0.01,Utility_I_tri_C_tri_DIS_0.0346,Utility_I_tri_C_tri_INF_0.01_DIS_0.0346,Utility_I_tri_GRW_stepexp_C_tri_DIS_0.0346,Utility_I_tri_GRW_stepexp_C_tri_INF_0.01_DIS_0.0346
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,928263.76,897219.9497390296,937546.3976,906192.1492364199,95353.62474313645,92164.72524950362,95353.62474313645,92164.72524950362,38823.28394543752,37524.921656135244,39211.51678489189,37900.170872696595,56530.340797698926,56142.10795824455,56530.340797698926,56142.10795824455,54639.80359336838,54264.55437680703,54639.80359336838,54264.55437680703
2022,928263.76,867214.3337898991,946921.861576,884645.3418990761,291611.4084468972,272432.90560197044,291611.4084468972,272432.90560197044,120874.19362042246,112924.62100742351,123303.76491219296,115194.40588967272,170737.21482647478,168307.6435347043,170737.21482647478,168307.6435347043,159508.28459454695,157238.49971229772,159508.28459454695,157238.49971229772
2023,928263.76,838212.1919484817,956391.0801917601,863610.8595767127,563033.1977436711,508412.922228576,563033.1977436711,508412.922228576,231650.80539858039,209178.18590674622,238670.0564529628,215516.49411790655,331382.39234509075,324363.1412907083,331382.39234509075,324363.1412907083,299234.7363218297,292896.4281106694,299234.7363218297,292896.4281106694
2024,928263.76,810179.9651541483,965954.9909936776,843076.5205610669,671253.0788569177,585863.4360969907,671253.0788569177,585863.4360969907,276586.54237482307,241402.15843753342,287817.0651072758,251204.0540927526,394666.5364820946,383436.0137496419,394666.5364820946,383436.0137496419,344461.2776594573,334659.3820042381,344461.2776594573,334659.3820042381
2025,928263.76,783085.2166577888,975614.5409036145,823030.4327920721,924679.8327416065,780061.808253237,924679.8327416065,780061.808253237,384496.8113066166,324362.3006313106,404110.0129146574,340908.0378370651,540183.02143499,520569.8198269491,540183.02143499,520569.8198269491,455699.50762192643,439153.77041617193,455699.50762192643,439153.77041617193
2026,928263.76,756896.5944884871,985370.6863126507,803460.9869708029,1375966.0469080948,1121948.3727734052,1513562.6515989043,1234143.2100507459,569324.8203111687,464221.5243340895,604349.7689975991,492780.50242334855,806641.2265969261,771616.2779104956,944237.8312877356,909212.8826013051,657726.8484393157,629167.8703500566,769921.6857166564,741362.7076273973
2027,928263.76,731583.7951754177,995224.393175777,784356.8498361792,1854243.1012505307,1461367.1928662814,2039667.4113755838,1607503.9121529097,776858.8329525484,612258.4526266232,832897.8184050213,656423.9316873378,1077384.2682979824,1021345.2828455094,1262808.5784230353,1206769.5929705626,849108.7402396582,804943.2611789436,995245.4595262865,951079.9804655719
2028,928263.76,707117.5286829863,1005176.6371075349,765706.9576015281,2512153.7533809207,1913667.2466480916,2763369.128719013,2105033.971312901,1056475.4171934337,804784.5001728256,1144011.4898391333,871466.2925976872,1455678.336187487,1368142.2635417874,1706893.7115255794,1619357.6388798798,1108882.7464752658,1042200.9540504044,1300249.4711400755,1233567.6787152137
