,Papallacta_BAU-superficial,Mica_BAU-superficial,Orientales_BAU-superficial,Occidentales_BAU-superficial,Bellavista_BAU-superficial,Puengasi_BAU-superficial,El Placer_BAU-superficial,El Troje_BAU-superficial,Paluguillo_BAU-superficial,Norte_BAU-superficial,Centro_BAU-superficial,Sur_BAU-superficial,Parroquias Norte_BAU-superficial,Parroquias Sur_BAU-superficial,Parroquiales Orientales_BAU-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2023-06-30,11011764.730227683,4259671.462023664,6238381.541676204,2058867.4887638332,9540174.47327149,6253984.137981496,1669772.149118574,3338771.0178574156,1978814.122021915,5638243.11370345,6990752.920206831,3029041.7650807877,888190.2434615757,2710950.209942908,3057140.4272406753,11045832.675521271,4103205.6019382137,6688658.765096449,2170904.3293290823,9595947.936498167,6504277.045980858,1752268.6536756672,3333315.7533663264,1984936.1317911725,5671205.230470417,7283702.9162936965,3040494.481549273,893382.7528879794,2737856.5811556266,3069720.648911115
2023-07-31,12041795.969406903,4136066.2530743917,5320868.382447122,1638642.6831884014,10280271.222089035,5552178.2329066405,1381995.830648706,3104071.684907191,2163910.7357024206,6075640.292254619,6121883.528939031,2888796.9160549114,957093.2507764894,2639769.82547694,3324996.3101884285,12245558.053909741,4248637.489643845,6076597.548623359,1912034.0595296395,10515273.51219371,6134900.519863009,1580830.493011428,3298048.0556581058,2200526.7822875804,6214526.645706484,6809608.153821718,3056907.9014520436,978971.9639852343,2785040.3749456825,3388517.8949486744
2023-08-31,8732571.758904994,3069787.7533088373,4467547.96139153,1287754.7146856755,7479842.6317255935,4487075.625782497,1097415.635367696,2388331.7616622928,1569243.1450752274,4420586.995349825,4931131.205600632,2198120.193826871,696373.3490136528,2007193.2207904458,2414186.852981772,8949864.737603387,3659582.856419427,5556707.3506577,1696063.7810246951,7759465.9479456525,5512242.911497487,1408714.724437385,2893682.8259876883,1608290.6933473286,4585844.375235881,6108662.543021477,2585472.3503916734,722406.2797537403,2306246.5019669505,2485376.567936338
2023-09-30,8329785.534689412,3017902.618090326,5046685.036074697,1185782.9616251902,7124258.225855709,4873743.76292893,1078821.7532494161,2442942.6390930098,1496862.4605836875,4210436.611480724,5260952.36140684,2206700.542546852,663268.4408271664,2025727.4494911116,2301575.556003413,8783227.975187486,3826618.9835367594,6166265.600956226,1667511.1563997897,7615745.139221569,6015305.976438761,1439869.860465907,3073116.047735075,1578346.067141191,4500905.377279947,6584284.977071982,2695744.545240538,709025.8724615279,2400541.5120075024,2439190.97049454
2023-10-31,7273882.9127487205,2832454.746599514,5330803.952537903,1416491.169888022,6315854.65587985,4994082.125118919,1212382.1525811327,2404896.0558478995,1307116.7594209448,3732670.1016249903,5480720.169825682,2145365.4654684775,588006.0684624139,1941311.0197646255,2021080.4737134464,7820446.252086363,3634900.8538420107,6176864.340725417,1743538.7179029512,6845253.253484492,5939684.176863019,1473249.1194644743,2979160.655171413,1405334.1914999196,4045544.6728093354,6544779.728519312,2587315.5633586096,637293.0778994062,2282421.507146516,2179463.845719778
2023-11-30,6895828.222210374,2604799.5315434793,6786476.698346716,1918830.8042736258,6130719.014252281,5923826.384306053,1564664.486757153,2543151.4431353807,1239180.331531204,3623254.937423098,6607446.992858415,2269794.2668715743,570769.9402268874,2056485.4557718737,1933054.0189434679,7451408.101819005,3361900.7930105557,6987512.306747591,2061635.684330645,6621725.970237567,6394061.4384872485,1683935.2336863223,2981904.9475642205,1339018.035896875,3913440.048410401,7127802.0530578615,2602478.264224944,616482.6878291175,2302605.9024387547,2088447.0433422406
2023-12-31,6792117.286348836,2582295.6911002086,5862115.431482687,1833999.1220285052,6024605.744901493,5261009.734434458,1458624.4939688323,2383601.5327964406,1220543.4763568856,3560541.9952367824,5926159.983924547,2145236.640727808,560890.7948503289,1928915.4977058773,1902327.7190447734,7410954.907522256,3203066.349422526,5934840.493567035,1909659.1799804429,6550792.234902638,5581494.071179774,1528427.5831813137,2726363.8879535603,1331748.5968817496,3871518.2108274586,6271150.186855905,2411648.826314503,609878.7570694356,2131375.3346979385,2072949.3083199197
2024-01-31,5622746.12253021,2016105.5791284156,4536031.40177849,1552172.2722135328,4995804.355507581,4078687.9539086726,1200046.5686112586,1862983.3687797892,1010407.4782186786,2952520.37410498,4652538.958939769,1704310.8966531272,465109.38549775584,1533761.8626671992,1575814.084454941,6169886.724819206,2750677.405388936,4935624.063582106,1733209.9973729604,5489392.810026446,4679437.056156862,1351625.5576937126,2322996.0003328784,1108728.6444500112,3244231.15072563,5316650.347212105,2055271.8160389026,511062.47061346215,1799602.780165428,1730040.4289242204
2024-02-29,5799645.047901568,1946396.8538440291,4425878.901967487,1311659.6388101585,5081076.395018821,3970646.480381416,1062355.0766391072,1792898.894389458,1042196.215107912,3002916.149456123,4440285.007487927,1646197.3820529967,473048.21237625217,1508070.1270476899,1616842.045588096,6486293.28432876,2748001.8998887474,5016913.613026422,1577888.949178339,5710217.267691968,4735708.291204939,1274311.0819408721,2323396.609369611,1165586.903193878,3374738.405205952,5301940.251733795,2060040.5068746137,531621.2276221222,1827421.584019003,1811545.6269620666
2024-03-31,7735302.741038641,2166922.4923857064,3777489.960386289,1237714.8210018273,6649746.850396535,3608157.5574621167,989780.780803846,1804243.5636185252,1390033.9025646436,3930000.3885843526,4055438.7081022873,1750190.8809783224,619091.4317719174,1638214.7478191135,2141350.843634213,8408016.81496558,2719299.0008166954,4477586.084977259,1505291.617696088,7267797.953587757,4342230.68589047,1199547.3636146635,2220530.412809149,1510920.6216493149,4295268.590570365,4887568.4538926715,2089272.4319817822,676631.9894790201,1913828.530709097,2332302.744738224
