,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2029,928263.76,683469.4845186415,1015228.4034786101,747500.50954721,-213964.28607662645,-157539.34023040067,-224662.5003804578,-165416.30724192073,-51298.03491185511,-37770.12847945813,-56103.90530074412,-41308.6332653795,-162666.25116477133,-157860.38077588234,-173364.46546860266,-168558.59507971368,-119769.21175094254,-116230.70696502118,-127646.1787624626,-124107.67397654123
2030,928263.76,660612.2989741362,1025380.6875133963,729726.9617655925,-162585.51110432035,-115706.32496792724,-170714.7866595364,-121491.64121632362,-67846.42154228088,-48283.88486502429,-74944.65836557884,-53335.44752271302,-94739.08956203947,-87640.85273874151,-102868.36511725551,-95770.12829395755,-67422.44010290295,-62370.877445214224,-73207.75635129934,-68156.1936936106
2031,928263.76,638519.5234623394,1035634.4943885303,712376.021054754,-254528.943221731,-175081.37938436,-280618.1599019584,-193027.22077125692,-75889.80337257992,-52201.88827053893,-84667.8514574422,-58239.99437959975,-178639.13984915108,-169861.09176428878,-204728.3565293785,-195950.3084445162,-122879.49111382107,-116841.38500476026,-140825.33250071798,-134787.22639165717
2032,928263.76,617165.5939129513,1045990.8393324156,695437.6389573764,-170291.9680528675,-113220.34547804958,-187746.89477828643,-124825.43088954967,-44115.85163596014,-29330.8722683335,-49710.8458489883,-33050.76102756186,-126176.11641690737,-120581.1222038792,-143631.0431423263,-138036.04892929812,-83889.47320971609,-80169.58445048772,-95494.55862121616,-91774.66986198782
2033,928263.76,596525.801191718,1056450.7477257398,678902.0059413785,-216727.11709047752,-139274.3342284184,-238941.64659225146,-153549.95348683128,-74982.61268117226,-48185.72590303919,-85337.20764177412,-54839.8508630492,-141744.50440930526,-131389.9094487034,-163959.0339110792,-153604.43895047734,-91088.6083253792,-84434.48336536919,-105364.22758379209,-98710.10262378208
2034,928263.76,576576.2625089097,1067015.2552029972,662759.5457189179,-256144.79558906791,-159100.26359518056,-282399.63713694736,-175408.04061368655,-90688.49459150189,-56329.71523538485,-104244.08597027103,-64749.55510209333,-165456.30099756602,-151900.7096187969,-191711.14254544547,-178155.55116667633,-102770.5483597957,-94350.70849308724,-119078.3253783017,-110658.48551159323
2035,928263.76,557293.8937839838,1077685.407755027,647000.9097004706,-271562.37455991836,-163035.61513994855,-299397.51795231,-179746.76569179326,-90272.08905036072,-54195.893640068476,-104803.09292386478,-62919.750024653855,-181290.28550955764,-166759.28163605358,-209125.42890194926,-194594.4250284452,-108839.72149988008,-100115.8651152947,-125550.87205172479,-116827.0156671394
2036,928263.76,538656.3829344518,1088462.2618325776,631616.9715807805,-220009.78365882667,-127668.10402665599,-254688.82580804924,-147791.78892385765,-72316.6213540426,-41964.160794781994,-84796.92587278348,-49206.278800105676,-147693.16230478405,-135212.8577860432,-182372.20445400663,-169891.89993526577,-85703.943231874,-78461.82522655031,-105827.62812907566,-98585.51012375197
2037,928263.76,520642.1640580435,1099346.8844509032,616598.8220535358,-288590.07533874264,-161863.65107050692,-334079.08596401196,-187377.40907049557,-102656.45583999506,-57577.6860265061,-121576.49556034623,-68189.50870939072,-185933.61949874758,-167013.5797783964,-231422.6301240169,-212502.59040366573,-104285.96504400083,-93674.1423611162,-129799.72304398948,-119187.90036110485
2038,928263.76,503230.39247829455,1110340.3532954121,601937.7636517216,-396659.2088707085,-215036.9086477495,-459182.61666895397,-248932.10137335103,-134212.25861407453,-72759.15584354935,-160537.65434743112,-87030.68059535422,-262446.9502566339,-236121.55452327736,-324970.35805487947,-298644.9623215229,-142277.75280420014,-128006.22805239526,-176172.94552980168,-161901.42077799683
2039,928263.76,486400.92062468064,1121443.7568283663,587625.3057106504,-335296.4482289258,-175691.98338706564,-388147.5508810103,-203385.43226845187,-120697.19877875378,-63244.12428080346,-145815.36613807455,-76405.79260660175,-214599.24945017204,-189481.08209085127,-267450.3521022565,-242332.18474293576,-112447.85910626219,-99286.19078046389,-140141.3079876484,-126979.63966185012
2040,928263.76,470134.27471938974,1132658.1943966502,573653.1594507607,-474859.75617582136,-240500.44468303493,-549709.5252430353,-278409.32727619837,-154240.62722858277,-78117.67359567448,-188202.8770996439,-95318.40726534829,-320619.12894723855,-286656.8790761775,-395468.89801445254,-361506.64814339136,-162382.77108736045,-145182.03741768666,-200291.6536805239,-183090.92001085007
