,Papallacta_SEMBAU-superficial,Mica_SEMBAU-superficial,Orientales_SEMBAU-superficial,Occidentales_SEMBAU-superficial,Bellavista_SEMBAU-superficial,Puengasi_SEMBAU-superficial,El Placer_SEMBAU-superficial,El Troje_SEMBAU-superficial,Paluguillo_SEMBAU-superficial,Norte_SEMBAU-superficial,Centro_SEMBAU-superficial,Sur_SEMBAU-superficial,Parroquias Norte_SEMBAU-superficial,Parroquias Sur_SEMBAU-superficial,Parroquiales Orientales_SEMBAU-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2022-01-31,3651763.509598167,2493128.4623874254,7101903.953577118,1618660.1327624563,3396317.944511008,6098266.331647184,1421268.6048343892,2512231.1535181766,656221.9026747907,2007223.905206005,6642767.403056895,2044727.9977284712,316197.20063397475,1783481.4172197457,1041473.026431453,3766671.9148312006,2504166.358306181,6863138.495054195,1607901.3721376893,3487857.793946317,5934363.463081519,1400477.4918889275,2480645.2544540684,676870.9430951668,2061323.9562222734,6478861.649849673,2027738.739333749,324719.56061640213,1766663.655962483,1072421.7871057908
2022-02-28,3059159.778964588,2308914.70209999,6352085.260974567,1534184.7671648576,2889450.0174135333,5488662.760238877,1320278.5513588123,2294470.9314279966,549731.0122799365,1707664.9602913978,6013265.432414494,1856074.966890263,269007.79662119993,1599774.3349557125,877729.2317028835,3077746.0557799796,2214396.9022028875,5936411.704425651,1518865.9768279349,2900882.1863757465,5154015.926281674,1281333.7968593193,2179915.180415695,553070.9662236624,1714421.3721480665,5681558.884800306,1777636.020749326,270072.13155158196,1530151.3609461393,882333.9498396091
2022-03-31,4629733.058467484,2647781.6158418413,8159005.371847405,2043226.8559624935,4303660.008344171,6912150.62567763,1721669.1751670195,2784980.5831928407,831963.0306066069,2543463.0649314043,7622378.310708275,2323103.323111876,400670.7467768423,2045968.549613158,1320123.6518325617,4984410.458172606,2893075.3849689243,7867556.799583853,2004779.1146945152,4584905.744657307,6812577.058290021,1692141.7027244614,2866577.3313322957,895698.5593336176,2709679.2950924686,7508601.445016215,2390858.5245935316,426854.7248275953,2093794.4362957503,1415495.58314423
2022-04-30,7298757.693413289,3176180.393770732,8779802.861174809,2632689.503240143,6638474.774384732,7579804.922119614,2096273.4149374089,3198601.159107582,1311586.7575063682,3923338.5916613764,8533715.522676555,2799384.300334269,618042.0014952185,2489283.910205656,2063783.5029432832,7730925.390257905,3514695.739438829,8424378.492667254,2576436.5709191966,6978830.215345874,7475444.008116147,2056869.3639900538,3318170.310843508,1389247.2926293456,4124488.657269412,8407360.377284607,2894321.175997437,649729.0930487011,2555899.210445683,2179714.50685256
2022-05-31,5644451.209501035,3072640.0680286596,7925155.7356458455,2530179.1846056664,5256635.074044405,6931111.996724215,1982126.154488999,3005928.8631735155,1014307.8823473359,3106671.328760243,7858232.490721417,2565728.3163685105,489392.7253935341,2221623.4434194216,1610616.8795807858,5596626.947986089,3055993.4731973065,7540036.836160937,2483374.560990781,5205793.013060003,6651809.195378736,1931567.9619678769,2934844.854897915,1005713.8625531002,3076623.6707184613,7566209.207185361,2509542.8305807323,484659.32951588626,2165902.907886978,1596220.949495682
2022-06-30,4608768.135430055,2939322.3599272138,6632651.987994316,2198130.62514108,4324964.454586661,5960164.872546431,1716416.3808651394,2714619.3509540483,828195.6339367809,2556053.992660716,6767459.2652501315,2278426.47681749,402654.190722018,1935688.1498322212,1318995.9711467242,4451506.920518393,2727878.416729016,6432014.688560766,2183468.5736233057,4192382.464678422,5726753.67112021,1687109.0387186212,2571637.0172181157,799935.7936171552,2477698.036624947,6534296.876821797,2173169.285914482,390310.80746156105,1850866.2561076747,1275771.8857080543
2022-07-31,3736783.7787403814,2742230.9088505907,5727835.749532898,1834741.74223186,3519722.343133855,5235473.0560317235,1456704.1224638878,2447134.5571182687,671500.0450396466,2080155.9047921086,5901731.44318964,2015898.8692690227,327686.15014576196,1693668.2707855154,1070991.58036364,3607066.0712858853,2424249.7554371916,5895385.180062681,1864901.6496256622,3420861.531779275,5216001.898696308,1470861.718013295,2307730.88987778,648189.7730100737,2021729.1652815514,5896235.370285454,1921134.8632975349,318482.20860865037,1633292.6290521363,1036586.4385624443
2022-08-31,3191125.8139207065,2600409.787583037,5024846.976139623,1555259.8251003812,3002886.1213710313,4677332.03155989,1256889.979041968,2245455.827132989,573445.3087615509,1774705.6977302793,5235144.464380381,1823547.439630815,279568.69789964304,1519297.9147139848,914259.9663546147,3193767.2454106715,2219399.8256882443,5523265.879280145,1617669.325970035,3020560.5920157633,4864297.168147277,1307154.3941859936,2125915.6235105223,573919.9740002975,1785151.3098813158,5444426.358336104,1754412.1434631823,281214.1911166675,1496772.7635856746,916822.6931267634
2022-09-30,2718065.7885158346,2386296.160910172,4496255.346290155,1348992.1533936593,2563766.690122457,4211063.787908555,1104396.8062287304,2037565.4780002516,488436.4221962955,1515186.1138623722,4690409.90375275,1638880.7246852932,238686.67885040081,1359166.529401304,779445.5309037005,2808537.9449924543,1989744.9347141795,5176168.753509874,1416871.6572549948,2654812.8679271797,4519517.653553322,1168740.2780283082,1938088.8731898994,504694.2687151441,1568994.4049449628,5020063.275367331,1589585.5341896552,247163.0780040204,1362318.3090133988,806068.6709070471
2022-10-31,5060454.02166393,3007134.6236808063,6959872.622228287,2001576.7396282922,4646458.072159886,6220742.866969915,1636015.2252710252,2787000.154655874,909363.5876930082,2746056.720646493,6932682.474191218,2336068.0674613086,432585.2465180854,2017682.1264741404,1436092.4629411066,5560571.914987067,2984866.5784353074,7693101.185758859,2035150.356964409,5064847.776803551,6729115.64949034,1700613.0814533795,2890148.708478724,999234.7731231757,2993325.0360908983,7441157.216216234,2439808.274342208,471537.32802041055,2143143.540242105,1573166.8297057322
2022-11-30,5633309.125843869,3256778.7431717315,8016853.098406303,2121435.390684034,5145926.84686437,7075720.2991889985,1778386.6149898865,3088743.825105057,1012305.6499141431,3041242.7664968427,7816182.465194451,2584032.922617523,479085.78944307286,2252534.759792416,1595508.1021137463,6032415.671344392,3310186.1134099113,8358922.831087809,2119615.0787361814,5472701.956001208,7340544.660326735,1801796.0154852308,3169208.0689120856,1084025.0961405872,3234366.855996714,8072452.15055124,2661326.89018814,509508.5521037125,2338271.793716519,1704051.4484883528
2022-12-31,6954186.6875689775,3615242.9428753527,9191148.104817212,2629565.7718566707,6355184.759444187,8060753.951789824,2138958.2502554986,3492387.141979856,1249667.347756145,3755914.1928315144,8999271.989868773,2975546.4453347046,591667.7011042538,2607122.1990657877,1969933.22971256,7375523.55325718,3887782.6491876924,9202135.391295977,2610322.5831668284,6695856.923232518,8186662.432373472,2140381.208586568,3636053.0609703828,1325381.5825203154,3957251.4416304184,9112954.622899467,3091593.022522112,623384.2795529476,2703432.308754072,2084010.671907337
