,Papallacta_sigmoid,Mica_sigmoid,Orientales_sigmoid,Occidentales_sigmoid,Bellavista_sigmoid,Puengasi_sigmoid,El Placer_sigmoid,El Troje_sigmoid,Paluguillo_sigmoid,Norte_sigmoid,Centro_sigmoid,Sur_sigmoid,Parroquias Norte_sigmoid,Parroquias Sur_sigmoid,Parroquiales Orientales_sigmoid
2021-01-31,1141.4011535591594,48.219464857499005,350.7977498893094,352.2735367980686,1023.3747796974816,268.7417483125265,211.8279296770423,103.40244120811342,205.1097872945842,604.814494801219,418.13525283596493,164.94695036138043,95.2761919898347,164.99533965770115,320.98444162017455
2021-02-28,1110.1892396694927,55.97358915308086,345.15240286210764,326.56818364495933,991.3963512407859,268.1147235199379,198.11980944491413,104.8470412324336,199.5010063686093,585.9152435833126,406.05339383115773,161.8491388213917,92.29900030051945,162.18471935844096,311.73215405090747
2021-03-31,833.0153334459053,49.592844065254816,159.3473950164221,235.73450190692577,741.5692956161607,134.07743248140517,137.54484768585252,66.73070282553758,149.6928554202295,438.26745370915586,235.391222658827,112.07163212214289,69.04010142186465,111.10279363829424,233.62913686059667
2021-04-30,695.5211586363022,30.210643358637103,63.425801521392614,152.59783975686364,608.1783611454753,57.906642670827445,86.37883659244406,36.10408840280013,124.98515220694101,359.43341143698115,124.33520671806207,76.30985961888089,56.621405422643704,79.82735371156708,193.7604795396808
2021-05-31,526.9794887064094,41.50062263308815,63.635523048045755,97.38903049180487,456.2716568676142,62.94901694489784,57.52379805991226,38.27970656314395,94.69821412054293,269.6565492087631,104.58740400790786,63.48679513408366,42.478891254375064,65.58628171880504,146.26895466249155
2021-06-30,694.654588528427,49.90748654408646,170.88508996610315,126.93042766288076,601.0895084086993,142.36521147789995,80.5215711899733,61.19233811511735,124.82942955855877,355.24389946953073,194.86746051952767,91.22623769380614,55.961433232848066,95.64039116061925,192.76629925184105
2021-07-31,829.328392607723,54.41010420580886,311.5246058823703,167.1453935552979,721.5019793975426,243.6789142291236,111.2018630782253,87.91074833160977,149.03031215160195,426.40766982394774,311.16790788954046,120.80655400771876,67.17183428191193,126.55777359683913,230.59933966808077
2021-08-31,1201.9551308475195,67.65374770794979,513.667813391397,293.95724165812607,1058.5313863339352,392.23420979242366,192.22201419816,134.61521240233327,215.99133701330013,625.5920493233502,511.9846459620941,184.8202443418072,98.54927206768775,190.84703002963047,335.73816401092785
2021-09-30,1442.4526826318136,84.4516631389352,709.4259718810969,433.8849280891502,1290.4873591199762,537.8192451047289,279.93548517229357,183.10946572192609,259.20874706893824,762.6780292399139,715.7734888638772,243.76219265053928,120.14437313407024,244.78820547732093,405.31208652625105
2021-10-31,1937.8914796065571,83.84294462790979,824.8274919254625,566.8954978501022,1729.7507553451978,619.0865395415359,358.0540879629174,209.64136099821428,348.23909888529687,1022.2826964089858,854.0363753592209,301.30474500395724,161.03979532263315,306.247416775157,544.0512971973809
2021-11-30,2079.2731879541725,70.501286233387,762.6907084139116,594.9420849394961,1852.6391949110957,569.4032930765808,368.3757389362324,195.01512127839302,373.6453918753661,1094.909764192475,818.3247106105414,301.6087108072942,172.48070904622432,309.07679652711414,583.350027560221
2021-12-31,1981.037466923444,34.9650164298724,548.7033556735944,535.5560559983564,1757.338299046089,402.8162554057356,321.50163661833824,139.40327178180743,355.9924328061383,1038.586934736257,630.0981681572042,252.88976403866118,163.60819564119296,264.6295994224481,554.8653707143081
2022-01-31,2042.2834556570092,49.552296513197206,569.4765678063692,555.6732362057008,1812.5530044902716,423.81611569366027,334.1210797464379,151.64400199224775,366.9983369815606,1071.2188256537527,659.4660852876076,266.2502063042973,168.74868471804388,276.4506176405028,572.12483627888
2022-02-28,2281.8627688278175,62.84992296220414,660.1440079501989,583.6115814768049,2015.9267621589224,493.637183220954,355.38575334987485,174.4727103613389,410.05073955835724,1191.4127164359124,739.7171851801481,297.6764225720373,187.68278155699613,311.5499233231407,638.1399956495522
