hidrozonas,tipo,kc,coef,as (sed),at (sed),as (col),at (col)
1,1,1.12,0.87,0.1,0.2,100,1000
2,2,1.05,1.48,0,0,0,0
3,1,0.89,0.07,0.6,1,5,10
4,2,0.41,0.03,0.6,1,0,0
5,2,0.49,0.9,0.01,0.01,1,2
6,2,0.75,0.3,0.01,0.01,1,1
7,2,0.81,0.59,0.01,0.01,1,2
8,1,0.75,0.01,0.6,1,5,10
9,1,1.19,0.94,0.6,1,5,10
10,3,0.08,1.83,0,0,0,0
